domain,sub,framing,intervention,condition,n,mean,std,bare_mean,shift,cohens_d,p_value,p_bonferroni,sig
creative,,editorial,fairness,author_ai,20,3.075,0.4063638504436245,6.025,-2.95,-4.079061428608888,8.91085988893765e-13,1.3366289833406474e-11,***
creative,,editorial,fairness,vibe_astrology,20,4.35,0.4893604849295929,6.025,-1.6750000000000007,-2.2379185657107348,9.409613081800139e-08,1.4114419622700209e-06,***
creative,,editorial,fairness,vibe_old_crush,20,4.475,0.549521322798785,6.025,-1.5500000000000007,-2.0154575077429056,4.477128001783518e-07,6.715692002675277e-06,***
creative,,editorial,fairness,author_human,20,4.55,0.5104177855340405,6.025,-1.4750000000000005,-1.9524461860727655,9.422777049469736e-07,1.4134165574204604e-05,***
creative,,editorial,fairness,effort_long,20,4.925,0.6934847169416057,6.025,-1.1000000000000005,-1.333043446748033,0.000166777984632569,0.002501669769488535,**
creative,,editorial,fairness,author_awarded,20,5.325,0.5683540408842658,6.025,-0.7000000000000002,-0.902213428761871,0.007612688685062086,0.1141903302759313,
creative,,editorial,fairness,vibe_friend_ex,20,5.4,0.6198471798078857,6.025,-0.625,-0.7858273989802337,0.018212076652752977,0.27318114979129465,
creative,,editorial,fairness,translation,20,5.6,0.699623959145573,6.025,-0.4250000000000007,-0.5134298176269289,0.11339944205938479,1.0,
creative,,editorial,fairness,vibe_no_eye_contact,20,5.8,0.5712405705774793,6.025,-0.22500000000000053,-0.28960181251032374,0.3667560941078167,1.0,
creative,,editorial,fairness,control_irrelevant,20,5.85,0.5404676337745811,6.025,-0.1750000000000007,-0.22850682125132538,0.4754557908560787,1.0,
creative,,editorial,fairness,vibe_weird_email,20,6.175,0.6129093691051247,6.025,0.14999999999999947,0.1892393149549191,0.5536763746014158,1.0,
creative,,editorial,fairness,effort_quick,20,5.9,0.736277979541623,6.025,-0.125,-0.14818987956956559,0.6421713649376145,1.0,
creative,,editorial,fairness,neutral,20,5.9,0.7539370349250519,6.025,-0.125,-0.14683837044812295,0.6451736117587815,1.0,
creative,,editorial,fairness,vibe_nervous,20,5.9,0.7539370349250518,6.025,-0.125,-0.14683837044812295,0.6451736117587815,1.0,
creative,,editorial,fairness,vibe_former_roommate,15,6.05,0.42468475703413566,6.025,0.024999999999999467,0.0327220612136726,0.9166706063892694,1.0,
creative,,editorial,rubric_focus,author_ai,20,3.3,0.47016234598162726,5.975,-2.675,-4.416956726803806,2.297179151422882e-15,3.445768727134323e-14,***
creative,,editorial,rubric_focus,vibe_no_eye_contact,20,4.4,0.6805570473787205,5.975,-1.5749999999999993,-2.2550011848993563,1.6600160600790664e-08,2.4900240901185997e-07,***
creative,,editorial,rubric_focus,vibe_old_crush,20,4.4,0.6805570473787205,5.975,-1.5749999999999993,-2.2550011848993563,1.6600160600790664e-08,2.4900240901185997e-07,***
creative,,editorial,rubric_focus,effort_long,20,4.55,0.5104177855340405,5.975,-1.4249999999999998,-2.2920955755944328,2.044191369152253e-08,3.0662870537283796e-07,***
creative,,editorial,rubric_focus,author_awarded,20,4.65,0.4893604849295929,5.975,-1.3249999999999993,-2.160874551575482,7.770105214082657e-08,1.1655157821123985e-06,***
creative,,editorial,rubric_focus,author_human,20,4.65,0.5871429486123998,5.975,-1.3249999999999993,-2.0238599777446304,1.895511952913971e-07,2.8432679293709564e-06,***
creative,,editorial,rubric_focus,vibe_astrology,20,4.7,0.8013147091860318,5.975,-1.2749999999999995,-1.678063597095603,5.250815074817084e-06,7.876222612225626e-05,***
creative,,editorial,rubric_focus,translation,20,4.8,0.750438468321582,5.975,-1.1749999999999998,-1.602196504534862,1.0837340399124034e-05,0.0001625601059868605,***
creative,,editorial,rubric_focus,vibe_friend_ex,20,4.9,0.7181848464596079,5.975,-1.0749999999999993,-1.4992213803440997,2.9719946801263653e-05,0.0004457992020189548,***
creative,,editorial,rubric_focus,vibe_former_roommate,18,5.166666666666667,0.747545001596402,5.975,-0.8083333333333327,-1.105776668358443,0.0017114424238268864,0.025671636357403296,*
creative,,editorial,rubric_focus,control_irrelevant,20,5.175,0.8925864251240826,5.975,-0.7999999999999998,-0.9887812913941358,0.00347239382551816,0.052085907382772405,
creative,,editorial,rubric_focus,vibe_weird_email,20,5.175,0.6340139463848774,5.975,-0.7999999999999998,-1.183094345441574,0.0006121042772985441,0.009181564159478161,**
creative,,editorial,rubric_focus,vibe_nervous,20,5.225,1.0192231303663022,5.975,-0.75,-0.8515813758500456,0.010905761406149144,0.16358642109223714,
